Date,Open,High,Low,Close,Adj Close,Volume
1995-01-10,22.062500,22.250000,21.875000,22.125000,7.787106,1525600
1995-01-11,22.187500,22.375000,21.812500,21.875000,7.699119,3203000
1995-01-12,21.875000,21.937500,21.687500,21.687500,7.633126,1899400
1995-01-13,21.875000,22.062500,21.687500,22.062500,7.765110,1819000
1995-01-16,22.000000,22.125000,22.000000,22.062500,7.765110,684800
1995-01-17,22.062500,22.375000,22.062500,22.375000,7.875093,1218400
1995-01-18,22.312500,22.812500,22.312500,22.812500,8.029083,1860800
1995-01-19,22.687500,22.875000,22.625000,22.812500,8.029083,1408200
1995-01-20,22.750000,23.125000,22.750000,23.125000,8.139063,2688600
1995-01-23,22.875000,23.187500,22.875000,23.062500,8.117064,2295200
1995-01-24,23.000000,23.250000,22.937500,23.125000,8.139063,2766200
1995-01-25,23.187500,23.687500,23.000000,23.437500,8.249054,2899200
1995-01-26,23.375000,23.375000,23.187500,23.250000,8.183061,1560400
1995-01-27,23.187500,23.187500,22.937500,23.125000,8.139063,1448200
1995-01-30,23.000000,23.062500,22.250000,22.687500,7.985080,1620600
1995-01-31,22.625000,22.625000,22.187500,22.312500,7.853093,2220400
1995-02-01,22.437500,22.562500,22.062500,22.437500,7.897091,1915400
1995-02-02,22.437500,22.750000,22.437500,22.687500,7.985080,1051400
1995-02-03,22.687500,22.937500,22.625000,22.875000,8.051073,1409600
1995-02-06,22.750000,23.375000,22.750000,23.375000,8.227053,1536200
1995-02-07,23.312500,23.375000,23.187500,23.187500,8.161059,1109400
1995-02-08,23.187500,23.500000,23.187500,23.437500,8.249054,1692000
1995-02-09,23.500000,23.500000,23.312500,23.375000,8.227053,1071000
1995-02-10,23.437500,23.437500,22.812500,22.812500,8.109218,1306400
1995-02-13,22.687500,23.375000,22.625000,23.187500,8.242515,1489800
1995-02-14,23.187500,23.437500,23.187500,23.375000,8.309171,1220000
1995-02-15,23.375000,23.562500,23.250000,23.500000,8.353604,1942400
1995-02-16,23.500000,23.562500,23.437500,23.500000,8.353604,1980400
1995-02-17,23.500000,23.625000,23.500000,23.500000,8.353604,3164000
1995-02-21,23.437500,23.687500,23.437500,23.625000,8.398041,2316400
1995-02-22,23.562500,23.687500,23.562500,23.562500,8.375819,1012000
1995-02-23,23.500000,23.500000,23.250000,23.375000,8.309171,2307000
1995-02-24,23.312500,23.687500,23.250000,23.500000,8.353604,1420800
1995-02-27,23.625000,23.812500,23.562500,23.625000,8.398041,1606400
1995-02-28,23.687500,23.875000,23.562500,23.812500,8.464686,1838200
1995-03-01,23.625000,23.750000,23.500000,23.625000,8.398041,1539800
1995-03-02,23.562500,23.687500,23.500000,23.687500,8.420254,894800
1995-03-03,23.562500,23.625000,23.312500,23.437500,8.331389,1533200
1995-03-06,23.437500,23.750000,23.375000,23.750000,8.442468,2383600
1995-03-07,23.750000,23.750000,23.437500,23.562500,8.375819,1346400
1995-03-08,23.625000,23.937500,23.562500,23.812500,8.464686,2209000
1995-03-09,23.875000,23.875000,23.562500,23.750000,8.442468,1222200
1995-03-10,23.812500,24.062500,23.625000,24.000000,8.531339,2326800
1995-03-13,23.937500,23.937500,23.750000,23.812500,8.464686,1497400
1995-03-14,23.812500,23.875000,23.250000,23.375000,8.309171,1981200
1995-03-15,23.375000,23.687500,23.312500,23.500000,8.353604,1743200
1995-03-16,23.500000,23.750000,23.500000,23.687500,8.420254,2199200
